,Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,strain_norm
14351,CHEMBL375980,,,361.53,0.0,4.95,3c,OC1CC2(N3CCCCC3)CC(c3ccccc3)C1C(c1ccccc1)C2,IC50,'=',840.0,nM,6.08,,,UO_0000065,0,CHEMBL973272,organism-based format,,CHEMBL1149817,1,Scientific Literature,Eur J Med Chem,,Antiprotozoal activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1,K1,6.08,active,5.95,chloroquine and pyrimethamine resistant,"CQR, PYRR",6.0-7.5,4,5948,K1
14353,CHEMBL22327,,,364.45,0.0,3.25,41,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,IC50,'=',3000.0,nM,5.52,,,UO_0000065,0,CHEMBL767132,organism-based format,,CHEMBL1135602,1,Scientific Literature,J Med Chem,,In vitro antiplasmodial activity (IC50) against Plasmodium falciparum wtTM4/8.2,TM4/8.2,5.52,inactive,5.52,,,5.0-6.0,1,164,TM4
14354,CHEMBL279948,,,426.52,0.0,4.7,46,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,IC50,'=',4500.0,nM,5.35,,,UO_0000065,0,CHEMBL767132,organism-based format,,CHEMBL1135602,1,Scientific Literature,J Med Chem,,In vitro antiplasmodial activity (IC50) against Plasmodium falciparum wtTM4/8.2,TM4/8.2,5.35,inactive,5.35,,,5.0-6.0,1,164,TM4
14355,CHEMBL3234084,,,401.85,0.0,4.26,48,CS(=O)(=O)c1ccc(-c2cnc3ccc(-c4ccc(F)c(Cl)c4)nn23)cc1,IC50,'=',152.0,nM,6.82,,,UO_0000065,0,CHEMBL3241686,organism-based format,,CHEMBL3232977,1,Scientific Literature,J Med Chem,,Antimalarial activity against multidrug-resistant Plasmodium falciparum K1,K1,6.82,active,6.82,multidrug resistant,MDR,6.0-7.5,2,5948,K1
14357,CHEMBL3234098,,,452.44,0.0,4.55,63,O=C(c1ccc(-c2ccc3ncc(-c4ccc(C(F)(F)F)cc4)n3n2)cc1)N1CCOCC1,IC50,'=',763.0,nM,6.12,,,UO_0000065,0,CHEMBL3241687,organism-based format,,CHEMBL3232977,1,Scientific Literature,J Med Chem,,Antimalarial activity against drug-sensitive Plasmodium falciparum NF54,NF54,6.12,active,6.12,drug sensitive,MDS,6.0-7.5,2,4725,NF54
14358,CHEMBL3234055,,,301.35,0.0,2.92,19,NCc1ccc(-c2ccc3ncc(-c4ccncc4)n3n2)cc1,IC50,'=',491.0,nM,6.31,,,UO_0000065,0,CHEMBL3241686,organism-based format,,CHEMBL3232977,1,Scientific Literature,J Med Chem,,Antimalarial activity against multidrug-resistant Plasmodium falciparum K1,K1,6.31,active,6.31,multidrug resistant,MDR,6.0-7.5,2,5948,K1
14359,CHEMBL3234062,,,401.47,0.0,4.48,26,CC(C)(C)OC(=O)NCc1ccc(-c2ccc3ncc(-c4ccncc4)n3n2)cc1,IC50,'=',1606.0,nM,5.79,,,UO_0000065,0,CHEMBL3241686,organism-based format,,CHEMBL3232977,1,Scientific Literature,J Med Chem,,Antimalarial activity against multidrug-resistant Plasmodium falciparum K1,K1,5.79,inactive,5.79,multidrug resistant,MDR,5.0-6.0,2,5948,K1
14360,CHEMBL120314,,,592.01,2.0,7.64,4b,O=C(/C=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)Nc1ccc(NC(=O)c2ccc(Cl)cc2)c(C(=O)c2ccccc2)c1,IC50,'=',2500.0,nM,5.6,,,UO_0000065,0,CHEMBL761724,organism-based format,,CHEMBL1136509,1,Scientific Literature,Bioorg Med Chem Lett,,Inhibitory activity against Plasmodium falciparum Dd2 in erythrocytes by semiautomated micro dilution,Dd2,5.6,inactive,5.6,,,5.0-6.0,1,3864,Dd2
14361,CHEMBL3238453,,,503.48,2.0,6.02,5b,CCOC(=O)c1cn(CC(F)(F)F)c2ccc3nc(-c4ccccc4)c(-c4ccccc4)nc3c2c1=O,IC50,'=',13100.0,nM,4.88,,,UO_0000065,0,CHEMBL3242157,organism-based format,,CHEMBL3232776,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human erythrocytes assessed as parasite growth inhibition after 50 hrs by SYBR Green1 dye-based fluorescence assay,3D7,4.88,inactive,4.88,chloroquine sensitive,CQS,<=5.0,1,7375,3D7
14362,CHEMBL462086,,,403.44,0.0,3.65,ALH5,COc1ccc(/C=C/C(=N\NC(=O)c2cccnc2)c2ccc(O)cc2)cc1OC,IC50,'=',129.0,nM,6.89,,,UO_0000065,0,CHEMBL1016911,organism-based format,,CHEMBL1154474,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum RKL9 in human B+ erythrocytes after 24 hrs by Giemsa staining,RKL9,6.89,active,6.89,chloroquine resistant,CQR,6.0-7.5,2,105,RKL9
14363,CHEMBL3219636,,,391.35,0.0,4.19,10b,CCOC(=O)c1c[nH]c2cc(Cc3ccc(OC(F)(F)F)cc3)ccc2c1=O,IC50,'=',0.46,nM,9.34,,,UO_0000065,0,CHEMBL3223784,organism-based format,,CHEMBL3217655,1,Scientific Literature,Medchemcomm,,Antimalarial activity against wild type Plasmodium falciparum 3D7 assessed as growth inhibition,3D7,9.34,high_potency,9.34,,,>=7.5,1,7375,3D7
14365,CHEMBL3219644,,,323.35,0.0,3.89,14b,CC(C)OC(=O)c1c[nH]c2cc(Oc3ccccc3)ccc2c1=O,IC50,'=',8.45,nM,8.07,,,UO_0000065,0,CHEMBL3223784,organism-based format,,CHEMBL3217655,1,Scientific Literature,Medchemcomm,,Antimalarial activity against wild type Plasmodium falciparum 3D7 assessed as growth inhibition,3D7,8.07,high_potency,8.07,,,>=7.5,1,7375,3D7
14366,CHEMBL289040,,,395.39,1.0,6.11,17r,[N-]=[N+]=Nc1ccc2c(Nc3ccc(C(N)=O)cc3)c3ccc(N=[N+]=[N-])cc3nc2c1,IC50,'=',60.0,nM,7.22,,,UO_0000065,0,CHEMBL762989,organism-based format,,CHEMBL1127825,1,Scientific Literature,J Med Chem,,Inhibitory concentration IC50 against Plasmodium falciparum K1 by [3H]hypoxanthine uptake over 24 hr,K1,7.22,active,7.22,,,6.0-7.5,1,5948,K1
14367,CHEMBL3289816,,,283.16,0.0,3.25,26,Nc1ncccc1CC(O)c1cccc(Cl)c1Cl,IC50,'=',29.25,nM,7.53,,,UO_0000065,0,CHEMBL3296125,organism-based format,,CHEMBL3286148,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum 7G8 after 72 hrs by SYBR I method,7G8,7.53,high_potency,7.53,,,>=7.5,6,892,7G8
14368,CHEMBL368312,,,358.55,,,4c,CO[C@H]1O[C@@]2(C)OOC13[C@H](CCO)CCC[C@@H]3CC2C[Si](C)(C)C,IC50,'=',240.0,nM,6.62,,,UO_0000065,0,CHEMBL760659,organism-based format,,CHEMBL1131600,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54 in C4beta-stannylmethyl trioxanes,NF54,6.62,active,6.62,chloroquine sensitive,CQS,6.0-7.5,1,4725,NF54
14369,CHEMBL3108891,,,352.43,0.0,3.5,"4, ethyl ester",CCOC(=O)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,IC50,'=',128.2,nM,6.89,,,UO_0000065,0,CHEMBL3110605,organism-based format,,CHEMBL3108704,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-resistant erythrocyte stage of Plasmodium falciparum W2 after 48 hrs,W2,6.89,active,6.89,chloroquine resistant,CQR,6.0-7.5,1,5923,W2
14370,CHEMBL3108883,,,645.84,2.0,7.34,3,COc1cc(NC(C)CCCNCc2ccc(CO[C@H]3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ncccc2c1,IC50,'=',12.5,nM,7.9,,,UO_0000065,0,CHEMBL3110605,organism-based format,,CHEMBL3108704,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-resistant erythrocyte stage of Plasmodium falciparum W2 after 48 hrs,W2,7.9,high_potency,7.9,chloroquine resistant,CQR,>=7.5,1,5923,W2
14371,CHEMBL3289794,,,272.13,0.0,2.51,4,Nc1nccn1CC(O)c1cccc(Cl)c1Cl,IC50,'=',350.0,nM,6.46,,,UO_0000065,0,CHEMBL3296717,organism-based format,,CHEMBL3286148,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum NF54 after 72 hrs by SYBR I method,NF54,6.46,active,6.46,chloroquine sensitive,CQS,6.0-7.5,2,4725,NF54
14372,CHEMBL361497,ARTESUNATE,4.0,384.43,0.0,2.6,Artesunate,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',2.1,nM,8.68,,,UO_0000065,0,CHEMBL4482033,organism-based format,,CHEMBL4480447,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against drug-sensitive Plasmodium falciparum 3D7 ring stage forms assessed as inhibition of parasite growth after 72 hrs by DAPI staining-based confocal microscopic analysis,3D7,8.68,high_potency,8.7,drug sensitive,MDS,>=7.5,176,7375,3D7
14373,CHEMBL175038,,,362.47,0.0,3.45,4b,CO[C@H]1O[C@@]2(C)OOC13[C@H](CCO)CCC[C@@H]3CC2Cc1ccccc1,IC50,'=',8.3,nM,8.08,,,UO_0000065,0,CHEMBL760659,organism-based format,,CHEMBL1131600,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54 in C4beta-stannylmethyl trioxanes,NF54,8.08,high_potency,6.925,chloroquine sensitive,CQS,>=7.5,2,4725,NF54
14374,CHEMBL3038032,,,334.33,0.0,4.07,9,CC1=C(C(F)(F)F)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',6.0,nM,8.22,,,UO_0000065,0,CHEMBL762020,organism-based format,,CHEMBL1149097,1,Scientific Literature,J Med Chem,,In vitro inhibitory concentration against chloroquine-resistant Plasmodium falciparum FcB1,FcB1,8.22,high_potency,8.22,chloroquine resistant,CQR,>=7.5,1,748,FcB1
14375,CHEMBL3038036,,,392.37,0.0,3.61,12f,CC(=O)OCC1=C(C(F)(F)F)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',1.7,nM,8.77,,,UO_0000065,0,CHEMBL762020,organism-based format,,CHEMBL1149097,1,Scientific Literature,J Med Chem,,In vitro inhibitory concentration against chloroquine-resistant Plasmodium falciparum FcB1,FcB1,8.77,high_potency,8.77,chloroquine resistant,CQR,>=7.5,1,748,FcB1
14376,CHEMBL279509,,,366.42,0.0,2.83,43,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,IC50,'=',4200.0,nM,5.38,,,UO_0000065,0,CHEMBL767132,organism-based format,,CHEMBL1135602,1,Scientific Literature,J Med Chem,,In vitro antiplasmodial activity (IC50) against Plasmodium falciparum wtTM4/8.2,TM4/8.2,5.38,inactive,5.38,,,5.0-6.0,1,164,TM4
14377,CHEMBL496768,,,478.42,1.0,6.58,4e,Clc1ccc(C(Nc2ccnc3cc(Cl)ccc23)c2ccc(CN3CCOCC3)cc2)cc1,IC50,'=',21.0,nM,7.68,,,UO_0000065,0,CHEMBL1012856,organism-based format,,CHEMBL1139381,1,Scientific Literature,J Med Chem,,Antimalarial activity after 48 hrs against chloroquine-resistant asynchronous Plasmodium falciparum K1 infected human A+ erythrocytes by [3H]hypoxanthine uptake,K1,7.68,high_potency,7.68,chloroquine resistant,CQR,>=7.5,2,5948,K1
14378,CHEMBL4561866,,,344.43,0.0,2.61,6m,COc1ccc(Sc2nncc(-c3cnnc(SC)n3)n2)cc1,IC50,'=',86.0,nM,7.07,,,UO_0000065,0,CHEMBL4481277,organism-based format,,CHEMBL4480402,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 infected HEK293 cells by DAPI-staining based assay,3D7,7.07,active,7.07,,,6.0-7.5,1,7375,3D7
14380,CHEMBL3099818,,,465.99,0.0,4.43,3b,COc1ccc(C(NCCNc2ccnc3cc(Cl)ccc23)c2nnnn2C(C)(C)C)cc1,IC50,'=',46.0,nM,7.34,,,UO_0000065,0,CHEMBL3100531,organism-based format,,CHEMBL3098028,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 after 24 hrs by [3H]hypoxanthine incorporation assay,W2,7.34,active,7.34,chloroquine resistant,CQR,6.0-7.5,3,5923,W2
14381,CHEMBL3099820,,,504.85,2.0,5.73,3d,CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)c(Cl)c1,IC50,'=',0.4,nM,9.4,,,UO_0000065,0,CHEMBL3100533,organism-based format,,CHEMBL3098028,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 24 hrs by [3H]hypoxanthine incorporation assay,3D7,9.4,high_potency,9.4,chloroquine sensitive,CQS,>=7.5,3,7375,3D7
14383,CHEMBL3421830,,,346.86,0.0,3.25,6g,C/C(=N/c1ccnc2cc(Cl)ccc12)NCCCN1CCOCC1,IC50,'=',327.0,nM,6.49,,,UO_0000065,0,CHEMBL3423648,organism-based format,,CHEMBL3421610,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 assessed as growth inhibition after 18 hrs by [3H]-hypoxanthine uptake assay,D6,6.49,active,6.49,chloroquine sensitive,CQS,6.0-7.5,3,2297,D6
14384,CHEMBL2442156,,,511.29,1.0,-1.41,8,O=S(=O)(Cc1nnn(-c2ccccc2)c1I)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,IC50,'=',3400.0,nM,5.47,,,UO_0000065,0,CHEMBL2445694,organism-based format,,CHEMBL2440073,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against ring stage of chloroquine-resistant Plasmodium falciparum Dd2 infected in erythrocytes assessed as [3H]-hypoxanthine incorporation after 48 hrs by liquid scintillation counting analysis,Dd2,5.47,inactive,5.47,ring stage of chloroquine resistant,CQR,5.0-6.0,2,3864,Dd2
14385,CHEMBL2442165,,,631.38,2.0,1.47,10,CC(=O)OC[C@H]1O[C@@H](OCc2nnn(-c3ccccc3)c2I)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,IC50,'=',10600.0,nM,4.97,,,UO_0000065,0,CHEMBL2445693,organism-based format,,CHEMBL2440073,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against ring stage of chloroquine-sensitive Plasmodium falciparum 3D7 infected in erythrocytes assessed as [3H]-hypoxanthine incorporation after 48 hrs by liquid scintillation counting analysis,3D7,4.97,inactive,4.97,ring stage of chloroquine sensitive,CQS,<=5.0,2,7375,3D7
14386,CHEMBL3421915,,,372.94,1.0,5.04,6m,CC(C)/C(=N/c1ccnc2cc(Cl)ccc12)NCCCN1CCCCC1,IC50,'=',91.0,nM,7.04,,,UO_0000065,0,CHEMBL3423649,organism-based format,,CHEMBL3421610,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 assessed as growth inhibition after 18 hrs by [3H]-hypoxanthine uptake assay,W2,7.04,active,7.04,chloroquine resistant,CQR,6.0-7.5,3,5923,W2
14387,CHEMBL3104867,,,490.46,0.0,3.66,23,COc1cc(/C=C/C(=O)OCc2cc(O)c3c(c2)C(=O)c2cccc(O)c2C3=O)cc(OC)c1OC,IC50,'=',2700.0,nM,5.57,,,UO_0000065,0,CHEMBL3107617,organism-based format,,CHEMBL3102724,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant ring stage Plasmodium falciparum Dd2 after 72 hrs by SYBR Green 1-based fluorescence assay,Dd2,5.57,inactive,5.57,chloroquine resistant,CQR,5.0-6.0,1,3864,Dd2
14388,CHEMBL3104743,,,458.42,0.0,3.56,18,CC(=O)Oc1ccc(/C=C/C(=O)OCc2cc(O)c3c(c2)C(=O)c2cccc(O)c2C3=O)cc1,IC50,'=',12000.0,nM,4.92,,,UO_0000065,0,CHEMBL3107617,organism-based format,,CHEMBL3102724,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant ring stage Plasmodium falciparum Dd2 after 72 hrs by SYBR Green 1-based fluorescence assay,Dd2,4.92,inactive,4.92,chloroquine resistant,CQR,<=5.0,1,3864,Dd2
14389,CHEMBL3426256,,,471.38,0.0,4.61,14f,Cc1cc(C)c(S(=O)(=O)n2cc(-c3ccnc(N)n3)c3cc(Br)ccc32)c(C)c1,IC50,'=',8120.0,nM,5.09,,,UO_0000065,0,CHEMBL3428132,organism-based format,,CHEMBL3425465,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6 infected in human RBC assessed as parasite growth inhibition measured as LDH activity after 72 hrs by plate reader analysis,D6,5.09,inactive,5.09,,,5.0-6.0,4,2297,D6
14390,CHEMBL3426260,,,474.3,0.0,3.59,14j,Nc1nccc(-c2cn(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)c3ccc(Br)cc23)n1,IC50,'=',4860.0,nM,5.31,,,UO_0000065,0,CHEMBL3428132,organism-based format,,CHEMBL3425465,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6 infected in human RBC assessed as parasite growth inhibition measured as LDH activity after 72 hrs by plate reader analysis,D6,5.31,inactive,5.31,,,5.0-6.0,4,2297,D6
14391,CHEMBL3133765,,,336.4,0.0,1.9,10b,CN1CCN(C(=O)n2cc(-c3ccnc(N)n3)c3ccccc32)CC1,IC50,'=',9638.29,nM,5.02,,,UO_0000065,0,CHEMBL3428132,organism-based format,,CHEMBL3425465,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6 infected in human RBC assessed as parasite growth inhibition measured as LDH activity after 72 hrs by plate reader analysis,D6,5.02,inactive,5.02,,,5.0-6.0,4,2297,D6
14392,CHEMBL3133775,,,479.38,1.0,6.8,10o,Nc1nccc(-c2cn(Cc3c4ccccc4cc4ccccc34)c3ccc(Br)cc23)n1,IC50,'=',11040.79,nM,4.96,,,UO_0000065,0,CHEMBL3428132,organism-based format,,CHEMBL3425465,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6 infected in human RBC assessed as parasite growth inhibition measured as LDH activity after 72 hrs by plate reader analysis,D6,4.96,inactive,4.96,,,<=5.0,4,2297,D6
14394,CHEMBL3289160,,,324.38,0.0,2.2,1j,CC(C)Oc1ccc(C(=O)NOCCCCCC(=O)NO)cc1,IC50,'=',150.0,nM,6.82,,,UO_0000065,0,CHEMBL3296470,organism-based format,,CHEMBL3286295,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against asexual blood stage of Plasmodium falciparum 3D7 infected in human serum assessed as [3H]hypoxanthine incorporation incubated for 48 hrs prior to 3H]hypoxanthine addition measured after 24 hrs by liquid scintillation counting analysis,3D7,6.82,active,6.82,,,6.0-7.5,1,7375,3D7
14395,CHEMBL3409903,,,748.94,1.0,3.92,70,CC(C)C[C@H](NC(=O)CN1CCC(O)CC1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1COc1ccc(F)cc1,IC50,'=',16700.0,nM,4.78,,,UO_0000065,0,CHEMBL3413867,organism-based format,,CHEMBL3407376,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 infected in human erythrocytes after 48 hrs by SYBR green assay,3D7,4.78,inactive,4.78,,,<=5.0,1,7375,3D7
14398,CHEMBL3415191,,,324.51,1.0,5.56,4,[C-]#[N+][C@@]1(C)CC[C@H]2[C@H]3[C@@H]4[C@H](C[C@@H](C)[C@@](C)(C#N)[C@H]4CC[C@@H]31)C[C@@H]2C,IC50,'=',4.7,nM,8.33,,,UO_0000065,0,CHEMBL3419246,organism-based format,,CHEMBL3414444,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6,D6,8.33,high_potency,8.33,,,>=7.5,3,2297,D6
14400,CHEMBL514250,,,356.58,1.0,5.74,8,C[C@@H]1C[C@@H]2C[C@H](C)[C@H]3CC[C@](C)(N=C=S)[C@H]4CC[C@@H]([C@@H]2[C@H]34)[C@]1(C)C#N,IC50,'=',126.0,nM,6.9,,,UO_0000065,0,CHEMBL3419248,organism-based format,,CHEMBL3414444,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum K1,K1,6.9,active,6.9,,,6.0-7.5,1,5948,K1
14401,CHEMBL169913,,,297.49,1.0,5.58,10,[C-]#[N+][C@@]1(C)CC[C@H]2[C@H]3[C@H]4[C@H](CC[C@@H]31)[C@H](C)C(C)=C[C@@H]4C[C@@H]2C,IC50,'=',210.0,nM,6.68,,,UO_0000065,0,CHEMBL3419248,organism-based format,,CHEMBL3414444,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum K1,K1,6.68,active,6.68,,,6.0-7.5,2,5948,K1
14402,CHEMBL167308,,,356.58,1.0,6.2,15,[C-]#[N+][C@@]1(C)CC[C@H]2[C@H]3[C@@H](C(=C)CC[C@@H]31)[C@H](CC(C)(C)N=C=S)C[C@@H]2C,IC50,'=',1300.0,nM,5.89,,,UO_0000065,0,CHEMBL3419248,organism-based format,,CHEMBL3414444,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum K1,K1,5.89,inactive,5.89,,,5.0-6.0,2,5948,K1
14403,CHEMBL4172959,,,212.25,0.0,3.03,33,COc1ccc2c(c1)nc(C)c1[nH]ccc12,IC50,'=',10500.0,nM,4.98,,,UO_0000065,0,CHEMBL4150190,organism-based format,RBC,CHEMBL4145611,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive blood parasite forms of Plasmodium falciparum 3D7 infected in RBC by SYBR green assay,3D7,4.98,inactive,4.98,chloroquine sensitive,CQS,<=5.0,1,7375,3D7
14404,CHEMBL4097624,,,605.49,2.0,7.68,32,CCN(CC)Cc1cc(/C=N/N=C(\N)CC(O)c2cc3c(Cl)cc(Cl)cc3c3cc(C(F)(F)F)ccc23)ccc1O,IC50,'=',6.9,nM,8.16,,,UO_0000065,0,CHEMBL4013631,assay format,,CHEMBL4011644,1,Scientific Literature,J Med Chem,,Antispasmodial activity against chloroquine-sensitive asexual blood stages of Plasmodium falciparum 3D7 after 72 hrs by HRP2-based ELISA,3D7,8.16,high_potency,8.16,chloroquine sensitive,CQS,>=7.5,2,7375,3D7
14405,CHEMBL4070451,,,522.33,2.0,7.27,31,N/C(CC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12)=N\N=C\c1ccc(F)cc1,IC50,'=',2.5,nM,8.6,,,UO_0000065,0,CHEMBL4013632,assay format,,CHEMBL4011644,1,Scientific Literature,J Med Chem,,Antispasmodial activity against multidrug-resistant asexual blood stages of Plasmodium falciparum Dd2 after 72 hrs by HRP2-based ELISA,Dd2,8.6,high_potency,8.6,multidrug resistant,MDR,>=7.5,2,3864,Dd2
14406,CHEMBL3417439,,,542.08,2.0,6.95,14d,O=C(COc1ccc(C(=O)/C=C/c2ccccc2)cc1)NCCCCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',4074.0,nM,5.39,,,UO_0000065,0,CHEMBL3419629,organism-based format,,CHEMBL3414452,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against CQ-resistant Plasmodium falciparum W2 assessed as parasite growth inhibition after 48 hrs by YOYO-1 dye based flow cytometry,W2,5.39,inactive,5.39,cq resistant,CQR,5.0-6.0,1,5923,W2
14407,CHEMBL3417437,,,500.0,1.0,5.78,14b,O=C(COc1ccc(C(=O)/C=C/c2ccccc2)cc1)NCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',46.3,nM,7.33,,,UO_0000065,0,CHEMBL3419629,organism-based format,,CHEMBL3414452,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against CQ-resistant Plasmodium falciparum W2 assessed as parasite growth inhibition after 48 hrs by YOYO-1 dye based flow cytometry,W2,7.33,active,7.33,cq resistant,CQR,6.0-7.5,1,5923,W2
14408,CHEMBL3417433,,,411.89,0.0,4.09,13b,CC(=O)c1ccc(OCC(=O)NCCCNc2ccnc3cc(Cl)ccc23)cc1,IC50,'=',173.2,nM,6.76,,,UO_0000065,0,CHEMBL3419629,organism-based format,,CHEMBL3414452,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against CQ-resistant Plasmodium falciparum W2 assessed as parasite growth inhibition after 48 hrs by YOYO-1 dye based flow cytometry,W2,6.76,active,6.76,cq resistant,CQR,6.0-7.5,1,5923,W2
14410,CHEMBL3415880,,,379.18,1.0,5.61,1p,Cn1cc2c3cc(Br)ccc3nc-2c2cc(C(F)(F)F)ccc21,IC50,'=',579.3,nM,6.24,,,UO_0000065,0,CHEMBL3417906,organism-based format,,CHEMBL3414562,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7,3D7,6.24,active,6.24,chloroquine sensitive,CQS,6.0-7.5,4,7375,3D7
14412,CHEMBL4174554,,,334.89,0.0,3.44,6h,COc1ccc(CN2C=CC(=[N+]3CCCC3)CC2(C)C)cc1,IC50,'=',110.0,nM,6.96,,,UO_0000065,0,CHEMBL4142697,organism-based format,,CHEMBL4138198,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against erythrocytic stage of Plasmodium falciparum NF54 assessed as inhibition of [3H]-hypoxanthine incorporation after 48 hrs by liquid scintillation counting analysis,NF54,6.96,active,6.96,,,6.0-7.5,1,4725,NF54
14413,CHEMBL4162797,,,399.38,0.0,4.59,6l,CC1(C)CC(=[N+]2CCCC2)C=CN1Cc1cccc2ccccc12,IC50,'=',63.0,nM,7.2,,,UO_0000065,0,CHEMBL4142697,organism-based format,,CHEMBL4138198,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against erythrocytic stage of Plasmodium falciparum NF54 assessed as inhibition of [3H]-hypoxanthine incorporation after 48 hrs by liquid scintillation counting analysis,NF54,7.2,active,7.2,,,6.0-7.5,1,4725,NF54
14414,CHEMBL4166809,,,529.99,1.0,4.72,30g,COC(=O)c1c(C)nc(OCc2cn(CCNc3ccnc4cc(Cl)ccc34)nn2)nc1-c1ccccc1,IC50,'=',10380.0,nM,4.98,,,UO_0000065,0,CHEMBL4148765,organism-based format,,CHEMBL4145548,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum NF54 by LDH release assay,NF54,4.98,inactive,4.98,chloroquine sensitive,CQS,<=5.0,1,4725,NF54
